iter	RMSE
0	21.48494238
1	20.86879103
2	20.28719242
3	19.75543715
4	19.26526534
5	18.8001401
6	18.35979422
7	17.95945654
8	17.57821185
9	17.21958705
10	16.89853813
11	16.58773548
12	16.30358546
13	16.0500699
14	15.80576739
15	15.5873888
16	15.38256837
17	15.18824783
18	15.00868247
19	14.84903388
20	14.69022905
21	14.54935081
22	14.4176506
23	14.29514072
24	14.18986093
25	14.08627552
26	13.99517054
27	13.91041549
28	13.83077025
29	13.75749387
30	13.68955549
31	13.62612675
32	13.56474023
33	13.50747264
34	13.45644502
35	13.40764714
36	13.36748792
37	13.32791516
38	13.28927221
39	13.25266717
40	13.22144523
41	13.19402239
42	13.16270426
43	13.13509951
44	13.11217585
45	13.08835104
46	13.06083535
47	13.03492049
48	13.01433271
49	12.99511772
50	12.97420589
51	12.95292498
52	12.93654322
53	12.9146981
54	12.89738729
55	12.88119081
56	12.86506172
57	12.85071941
58	12.83824226
59	12.82544308
60	12.81405175
61	12.80175345
62	12.78996528
63	12.7801911
64	12.76848231
65	12.75944307
66	12.75069203
67	12.73721397
68	12.73018183
69	12.71995969
70	12.71055046
71	12.7045199
72	12.69690047
73	12.68839101
74	12.67977054
75	12.67195505
76	12.66575467
77	12.65785222
78	12.65140678
79	12.64471266
80	12.63744912
81	12.63016176
82	12.62379272
83	12.61842578
84	12.61382788
85	12.60922935
86	12.60253708
87	12.59555475
88	12.59059699
89	12.58588294
90	12.57838385
91	12.56874428
92	12.56471293
93	12.55947652
94	12.55395422
95	12.54829161
96	12.54225851
97	12.53518543
98	12.53069844
99	12.52695333
100	12.52314695
101	12.51891518
102	12.51601927
103	12.5111034
104	12.50530052
105	12.49995719
106	12.49478488
107	12.4891975
108	12.48270984
109	12.47495454
110	12.46831118
111	12.46273697
112	12.46088665
113	12.4540756
114	12.45069737
115	12.44758054
116	12.44123972
117	12.43632418
118	12.43336221
119	12.43032405
120	12.42756026
121	12.4249382
122	12.42032059
123	12.41673257
124	12.41209895
125	12.40956084
126	12.40497172
127	12.40206193
128	12.3984802
129	12.39513686
130	12.39239006
131	12.38836256
132	12.38343358
133	12.38042378
134	12.37649418
135	12.37235213
136	12.36997756
137	12.36404912
138	12.35975518
139	12.35667916
140	12.35189531
141	12.34974371
142	12.3449731
143	12.34307902
144	12.34106302
145	12.33769341
146	12.33468955
147	12.33248505
148	12.32861708
149	12.32420616
150	12.32086304
151	12.31883683
152	12.31702251
153	12.31319729
154	12.31117019
155	12.30897943
156	12.30521274
157	12.30279682
158	12.29868202
159	12.29616463
160	12.2932382
161	12.29161765
162	12.28845684
163	12.28647102
164	12.2820576
165	12.27824308
166	12.27517412
167	12.27318473
168	12.27048992
169	12.26875783
170	12.26437471
171	12.25977375
172	12.25829306
173	12.25403691
174	12.25253045
175	12.24953914
176	12.24567457
177	12.24189326
178	12.24001312
179	12.23725103
180	12.23307123
181	12.22980505
182	12.22674846
183	12.22468165
184	12.22153343
185	12.21859281
186	12.21626542
187	12.2134413
188	12.20891108
189	12.20507151
190	12.20286036
191	12.20062372
192	12.19907666
193	12.19497354
194	12.19216418
195	12.18960459
196	12.18651052
197	12.18397882
198	12.18182804
199	12.17772331
200	12.17441252
201	12.17107594
202	12.16916518
203	12.16552342
204	12.16142289
205	12.15833698
206	12.15597758
207	12.15423001
208	12.15185329
209	12.14807389
210	12.14461373
211	12.13852068
212	12.13464045
213	12.13095013
214	12.12825289
215	12.1250767
216	12.12343329
217	12.12136803
218	12.11806241
219	12.11653014
220	12.11461088
221	12.11290969
222	12.11049563
223	12.10755636
224	12.10522232
225	12.10302958
226	12.10101292
227	12.09923542
228	12.09706538
229	12.09477944
230	12.091924
231	12.08985141
232	12.08816219
233	12.08598936
234	12.08260358
235	12.07995607
236	12.07749533
237	12.07359889
238	12.07083691
239	12.06762813
240	12.06562894
241	12.06208967
242	12.05772383
243	12.0557845
244	12.05382024
245	12.05207267
246	12.05059381
247	12.04913099
248	12.04729742
249	12.04378494
250	12.04052788
251	12.03904922
252	12.03522186
253	12.03218081
254	12.03051531
255	12.0285507
256	12.02601182
257	12.02371738
258	12.02137387
259	12.01914276
260	12.01764117
261	12.01451574
262	12.011542
263	12.00934927
264	12.00784904
265	12.00555635
266	12.001468
267	11.99925379
268	11.9966266
269	11.99557728
270	11.9918014
271	11.9888184
272	11.98694904
273	11.98425731
274	11.9807651
275	11.97728144
276	11.97595682
277	11.9735784
278	11.97072619
279	11.96801295
280	11.96565433
281	11.96343193
282	11.96047222
283	11.95815593
284	11.95613984
285	11.95390534
286	11.95147614
287	11.94972693
288	11.94820611
289	11.94532711
290	11.94398788
291	11.94260124
292	11.94060535
293	11.93848464
294	11.93566488
295	11.93386535
296	11.93141057
297	11.93000782
298	11.92813042
299	11.9257286
