iter	Passed	Remaining
0	2	795
1	5	748
2	7	733
3	10	755
4	12	745
5	14	734
6	17	725
7	19	720
8	22	715
9	24	711
10	26	709
11	29	702
12	31	701
13	34	702
14	36	698
15	39	693
16	41	692
17	44	691
18	46	687
19	48	685
20	51	680
21	53	676
22	56	677
23	59	678
24	61	678
25	64	674
26	66	671
27	68	669
28	71	668
29	74	666
30	76	662
31	78	660
32	81	657
33	83	652
34	85	650
35	88	649
36	91	648
37	93	644
38	95	640
39	97	636
40	100	634
41	103	632
42	105	629
43	107	626
44	109	622
45	112	618
46	114	615
47	116	612
48	118	608
49	121	605
50	123	601
51	125	598
52	127	594
53	129	591
54	132	588
55	134	585
56	136	582
57	138	579
58	141	576
59	143	573
60	146	572
61	148	569
62	150	565
63	152	563
64	155	561
65	157	558
66	159	555
67	162	553
68	164	549
69	166	546
70	168	543
71	170	541
72	173	538
73	175	535
74	177	532
75	179	529
76	181	525
77	183	522
78	185	518
79	187	515
80	189	512
81	191	509
82	193	506
83	195	503
84	197	499
85	199	496
86	201	493
87	203	490
88	205	488
89	207	485
90	209	482
91	212	479
92	214	476
93	216	473
94	217	470
95	220	467
96	222	465
97	224	462
98	226	459
99	228	456
100	230	453
101	232	450
102	234	447
103	236	445
104	238	442
105	240	440
106	242	437
107	244	434
108	246	432
109	248	429
110	251	427
111	253	424
112	254	421
113	256	419
114	259	416
115	261	414
116	263	411
117	265	409
118	267	406
119	269	404
120	271	401
121	273	399
122	275	396
123	277	394
124	279	391
125	281	389
126	284	387
127	286	384
128	288	382
129	290	380
130	292	377
131	295	375
132	297	374
133	300	371
134	302	369
135	304	366
136	306	364
137	308	361
138	310	359
139	312	356
140	314	354
141	316	351
142	317	349
143	319	346
144	321	344
145	324	341
146	326	339
147	328	336
148	330	334
149	332	332
150	334	330
151	337	328
152	339	325
153	341	323
154	344	321
155	346	319
156	348	317
157	350	314
158	352	312
159	354	310
160	356	307
161	358	305
162	360	303
163	362	300
164	364	298
165	366	296
166	368	293
167	370	291
168	372	288
169	374	286
170	376	284
171	378	281
172	380	279
173	382	277
174	384	274
175	386	272
176	389	270
177	391	268
178	393	265
179	395	263
180	397	261
181	399	258
182	401	256
183	403	254
184	405	252
185	408	250
186	410	248
187	412	245
188	414	243
189	417	241
190	419	239
191	421	237
192	423	234
193	425	232
194	428	230
195	430	228
196	432	225
197	434	223
198	436	221
199	438	219
200	440	216
201	442	214
202	444	212
203	446	209
204	448	207
205	450	205
206	452	203
207	455	201
208	457	199
209	459	196
210	461	194
211	463	192
212	465	190
213	468	188
214	470	185
215	472	183
216	474	181
217	476	179
218	478	176
219	480	174
220	482	172
221	484	170
222	485	167
223	487	165
224	490	163
225	491	161
226	494	159
227	496	156
228	498	154
229	500	152
230	502	150
231	504	147
232	506	145
233	508	143
234	511	141
235	513	139
236	515	136
237	517	134
238	519	132
239	521	130
240	523	128
241	525	126
242	527	123
243	529	121
244	531	119
245	533	117
246	535	114
247	537	112
248	539	110
249	542	108
250	544	106
251	546	104
252	548	101
253	550	99
254	552	97
255	554	95
256	556	93
257	558	90
258	560	88
259	562	86
260	564	84
261	566	82
262	568	79
263	570	77
264	572	75
265	574	73
266	576	71
267	578	69
268	580	66
269	582	64
270	584	62
271	587	60
272	589	58
273	591	56
274	593	53
275	595	51
276	597	49
277	600	47
278	602	45
279	604	43
280	606	41
281	608	38
282	610	36
283	612	34
284	614	32
285	617	30
286	619	28
287	621	25
288	623	23
289	625	21
290	626	19
291	628	17
292	631	15
293	633	12
294	635	10
295	637	8
296	639	6
297	641	4
298	643	2
299	645	0
