Model,MAE,RMSE,R2,Primary
Ridge,0.738690185546875,0.7386901899218269,,False
ElasticNet,0.8181404113769531,0.8181404128367958,,False
LinearRegression,0.8420791625976562,0.8420791631197426,,False
Lasso,0.959210205078125,0.9592102060506413,,False
ExtraTreesRegressor,3.398666666666668,3.398666666666668,,False
RandomForestRegressor,5.235333333333332,5.235333333333332,,False
GradientBoostingStacking,7.794371101696288,7.794371101696288,,False
KNNRegressor,9.26666717529297,9.266667244552064,,False
SVR,12.660862057660419,12.660862057660419,,False
DynamicFusion,15.293736267089844,15.293736153234047,,True
