feature,mean_abs_shap
active_weeks,0.40749556
studied_credits,0.17274061
studied_credits,0.075009614
growth_rate,0.041043248
gender_enc,0.040703252
total_clicks,0.039438315
early_click_ratio,0.03251272
highest_education_enc,0.025759235
max_weekly_clicks,0.023393176
mean_clicks,0.019070884
min_weekly_clicks,0.016129477
std_clicks,0.015612545
imd_band_enc,0.015171499
behavior_entropy,0.015106448
click_cv,0.014169104
age_band_enc,0.012736001
disability_enc,0.009373618
num_of_prev_attempts,0.008411297
num_of_prev_attempts,0.008188304
region_enc,0.007935158
